"","year","month","avg_rating","no_ratings","avg_rating_owned","avg_rating_not_owned","avg_rating_prev_owned","avg_rating_comment","avg_rating_no_comment","no_ratings_owned","no_ratings_not_owned","no_ratings_prev_owned","no_ratings_comment","no_ratings_no_comment","cum_no_ratings","cum_no_ratings_owned","cum_no_ratings_not_owned","cum_no_ratings_prev_owned","cum_no_ratings_comment","cum_no_ratings_no_comment","cum_avg_rating","cum_avg_rating_owned","cum_avg_rating_not_owned","cum_avg_rating_prev_owned","cum_avg_rating_comment","cum_avg_rating_no_comment","month_after_release"
"1",2018,7,4.5,2,8,1,NA,1,8,1,1,0,1,1,2,1,1,0,1,1,4.5,8,1,NA,1,8,-8
"2",2018,8,8.28571428571429,7,9.5,6.66666666666667,NA,7,8.8,4,3,0,2,5,9,5,4,0,3,6,7.44444444444444,9.2,5.25,NA,5,8.66666666666667,-7
"3",2018,11,6,1,6,NA,NA,NA,6,1,0,0,0,1,10,6,4,0,3,7,7.3,8.66666666666667,5.25,NA,5,8.28571428571429,-4
"4",2018,12,6.5,2,7,6,NA,NA,6.5,1,1,0,0,2,12,7,5,0,3,9,7.16666666666667,8.42857142857143,5.4,NA,5,7.88888888888889,-3
"5",2019,1,8,1,8,NA,NA,NA,8,1,0,0,0,1,13,8,5,0,3,10,7.23076923076923,8.375,5.4,NA,5,7.9,-2
"6",2019,2,7.5,2,8,7,NA,NA,7.5,1,1,0,0,2,15,9,6,0,3,12,7.26666666666667,8.33333333333333,5.66666666666667,NA,5,7.83333333333333,-1
"7",2019,3,7.76634813333333,300,8.19621918552036,6.56379746835443,6.78823529411765,7.45228571428571,7.86193234782609,221,79,17,70,230,315,230,85,17,73,242,7.74255377777778,8.20158452173913,6.50047058823529,6.78823529411765,7.35150684931507,7.86051421487603,0
"8",2019,4,7.27710471204188,191,7.82041228070175,6.47272727272727,6.77777777777778,7.20769230769231,7.29491447368421,114,77,27,39,152,506,344,162,44,112,394,7.56686055335968,8.07526581395349,6.48728395061728,6.78181818181818,7.30142857142857,7.64231329949239,1
"9",2019,5,7.18820895522388,134,7.60151898734177,6.59454545454545,6.52777777777778,7.072,7.2148623853211,79,55,18,25,109,640,423,217,62,137,503,7.487580375,7.98678827423168,6.51447004608295,6.70806451612903,7.25956204379562,7.54968477137177,2
"10",2019,6,7.32396694214876,121,7.65657894736842,6.76222222222222,6.775,6.8,7.42156862745098,76,45,12,19,102,761,499,262,74,156,605,7.46156562417871,7.93649587174349,6.55702290076336,6.71891891891892,7.20358974358974,7.52808502479339,3
"11",2019,7,7.09942528735632,87,7.554,6.48513513513513,6.57142857142857,6.83333333333333,7.16884057971015,50,37,14,18,69,848,549,299,88,174,674,7.4244120754717,7.90166018214936,6.548127090301,6.69545454545455,7.16528735632184,7.49130777448071,4
"12",2019,8,7.30634328358209,134,7.63965517241379,6.68936170212766,6.6,7.36842105263158,7.29608695652174,87,47,12,19,115,982,636,346,100,193,789,7.40830085539715,7.86581987421384,6.56731213872832,6.684,7.18528497409326,7.46285353612167,5
"13",2019,9,7.34292929292929,99,7.72295081967213,6.73289473684211,6.90714285714286,7.3,7.34829545454545,61,38,7,11,88,1081,697,384,107,204,877,7.40231400555042,7.8533162697274,6.58369791666667,6.69859813084112,7.19147058823529,7.4513585404789,6
"14",2019,10,7.03069306930693,101,7.68615384615385,5.84722222222222,6.16666666666667,6.4875,7.13294117647059,65,36,12,16,85,1182,762,420,119,220,962,7.37055959390863,7.83905700787402,6.52057142857143,6.64495798319328,7.14027272727273,7.42322395010395,7
"15",2019,11,7.04264130434783,92,7.70612244897959,6.28658139534884,6.04545454545455,6.70833333333333,7.0927875,49,43,11,12,80,1274,811,463,130,232,1042,7.34687946624804,7.83102520345253,6.49884017278618,6.59423076923077,7.11793103448276,7.39785454894434,8
"16",2019,12,7.51282051282051,117,7.92530120481928,6.50588235294118,6.55,7.64285714285714,7.49514563106796,83,34,10,14,103,1391,894,497,140,246,1145,7.36083712437096,7.83977789709172,6.49932193158954,6.59107142857143,7.14780487804878,7.40660649781659,9
"17",2020,1,7.41353146853147,143,8.00575268817204,6.312,6.54375,7.38,7.42063559322034,93,50,16,25,118,1534,987,547,156,271,1263,7.36574930899609,7.8554168591692,6.48219926873857,6.58621794871795,7.16922509225092,7.40791721298496,10
"18",2020,2,6.87368421052632,95,7.40666666666667,5.96,5.61538461538461,5.86111111111111,7.11038961038961,60,35,13,18,77,1629,1047,582,169,289,1340,7.33705306322897,7.82970051575931,6.45079553264605,6.51153846153846,7.0877508650519,7.39082047761194,11
"19",2020,3,7.1172265625,96,7.50085317460317,6.38484848484848,4.94444444444444,6.89090909090909,7.14651470588235,63,33,9,11,85,1725,1110,615,178,300,1425,7.32481924057971,7.81103620720721,6.4472569105691,6.43230337078652,7.08053333333333,7.37624785263158,12
"20",2020,4,7.306125,80,7.82,6.64542857142857,6.741875,7.11875,7.35296875,45,35,16,16,64,1805,1155,650,194,316,1489,7.32399068698061,7.81138544588745,6.45792769230769,6.45783505154639,7.08246835443038,7.37524727333781,13
"21",2020,5,7.27311827956989,93,7.58032786885246,6.6875,6.5,7.26666666666667,7.27536231884058,61,32,9,24,69,1898,1216,682,203,340,1558,7.32149799262382,7.79979456414474,6.46869941348973,6.45970443349754,7.09547058823529,7.37082361360719,14
"22",2020,6,7.03863636363636,66,7.47380952380952,6.27708333333333,6.6125,7.41428571428571,6.99406779661017,42,24,8,7,59,1964,1258,706,211,347,1617,7.3119924592668,7.78891112082671,6.46218555240793,6.46549763033175,7.10190201729107,7.35707680272109,15
"23",2020,7,7.30505050505051,99,7.71969696969697,6.47575757575758,6.57,7.47692307692308,7.27906976744186,66,33,10,13,86,2063,1324,739,221,360,1703,7.31165932622395,7.78546086858006,6.46279161028416,6.47022624434389,7.11544444444444,7.35313751614797,16
"24",2020,8,6.99158878504673,107,7.50892857142857,6.42352941176471,6.26875,6.8375,7.03614457831325,56,51,16,24,83,2170,1380,790,237,384,1786,7.29587704608295,7.77423926811594,6.46025696202531,6.45662447257384,7.09807291666667,7.33840604143337,17
"25",2020,9,7.24164948453608,97,7.59523809523809,6.58647058823529,6.45,7.46428571428571,7.20409638554217,63,34,10,14,83,2267,1443,824,247,398,1869,7.29355676665196,7.76642424809425,6.46546480582524,6.45635627530365,7.11095477386935,7.33244151417871,18
"26",2020,10,6.74471153846154,104,7.27881355932203,6.04444444444444,5.79411764705882,6.89473684210526,6.71117647058824,59,45,17,19,85,2371,1502,869,264,417,1954,7.26948257697174,7.74727043275633,6.44366283084004,6.41371212121212,7.10110311750599,7.30541616683726,19
"27",2020,11,7.05641972222222,108,7.46086956521739,6.34085461538462,5.83333333333333,7.32,7.01390677419355,69,39,9,15,93,2479,1571,908,273,432,2047,7.26020029043969,7.73469140038192,6.43924705947136,6.39457875457876,7.1087037037037,7.29217221299463,20
"28",2020,12,7.22977099236641,131,7.58588235294118,6.57173913043478,5.875,7.47894736842105,7.1875,85,46,12,19,112,2610,1656,954,285,451,2159,7.25867299616858,7.72705325483092,6.44563556603773,6.37270175438597,7.12430155210643,7.28674225104215,21
"29",2021,1,7.24708994708995,189,7.59492537313433,6.39963636363636,6.31578947368421,6.76705882352941,7.29453488372093,134,55,19,17,172,2799,1790,1009,304,468,2331,7.25789086102179,7.71716211731844,6.44312817641229,6.36914473684211,7.11132478632479,7.28731725439725,22
"30",2021,2,7.348641,130,7.71168623529412,6.66288888888889,6.26833333333333,6.87142857142857,7.40623560344828,85,45,18,14,116,2929,1875,1054,322,482,2447,7.26191869238648,7.71691387733333,6.45251074952562,6.36350931677019,7.10435684647303,7.2929545770331,23
"31",2021,3,6.9347619047619,126,7.53930555555556,6.1287037037037,5.815,6.56315789473684,7.0007476635514,72,54,20,19,107,3055,1947,1108,342,501,2554,7.24842548281506,7.71034592706728,6.43672953971119,6.33143274853801,7.08383233532934,7.28071254894283,24
"32",2021,4,6.81487603305785,121,7.37708333333333,5.98877551020408,6.06136363636364,6.75333333333333,6.82358490566038,72,49,22,15,106,3176,2019,1157,364,516,2660,7.23190801322418,7.69846137691927,6.41775828003457,6.31510989010989,7.07422480620155,7.26249618421053,25
"33",2021,5,7.21161515463918,97,7.50256836065574,6.71861111111111,6.73555555555556,6.57142857142857,7.26140744444444,61,36,9,7,90,3273,2080,1193,373,523,2750,7.23130660556065,7.6927164375,6.42683682313495,6.32525469168901,7.06749521988528,7.26246055272727,26
"34",2021,6,6.87967032967033,91,7.28846153846154,6.33461538461538,6.18333333333333,6.03928571428571,7.03246753246753,52,39,12,14,77,3364,2132,1232,385,537,2827,7.2217944470868,7.6828565619137,6.42391747564935,6.32083116883117,7.04068901303538,7.25619615139724,27
"35",2021,7,6.92,95,7.21967213114754,6.38235294117647,6,6.54545454545455,6.96904761904762,61,34,7,11,84,3459,2193,1266,392,548,2911,7.21350578779994,7.66997272685818,6.4228012085308,6.31510204081633,7.03074817518248,7.24791017519753,28
"36",2021,8,7.03677419354839,93,7.37683333333333,6.41848484848485,5.6875,7.456,6.98626506024096,60,33,8,10,83,3552,2253,1299,400,558,2994,7.20887852477477,7.66216608521971,6.42269155504234,6.30255,7.03836917562724,7.24065682030728,29
"37",2021,9,7.01532710280374,107,7.3220253164557,6.15,5.3,6.66666666666667,7.07217391304348,79,28,10,15,92,3659,2332,1327,410,573,3086,7.20321850778901,7.65064330617496,6.41693770158252,6.27809756097561,7.0286387434555,7.23563399870382,30
"38",2021,10,6.92436170212766,94,7.32,6.22617647058824,5.83222222222222,6.924375,6.92435897435897,60,34,9,16,78,3753,2392,1361,419,589,3164,7.19623408473221,7.6423495777592,6.41217217487142,6.26852028639618,7.0258064516129,7.22796034134007,31
"39",2021,11,7.01241379310345,116,7.48078947368421,6.1225,5.84285714285714,6.54166666666667,7.06673076923077,76,40,7,12,104,3869,2468,1401,426,601,3268,7.19072280175756,7.63737446920583,6.40390173447537,6.26152582159624,7.01613976705491,7.2228294124847,32
"40",2021,12,7.10450955414013,157,7.41498076923077,6.49528301886792,6.23076923076923,7.252,7.08420289855072,104,53,13,19,138,4026,2572,1454,439,620,3406,7.18736078489816,7.62838187791602,6.40723268913342,6.26061503416856,7.02336774193548,7.21721271873165,33
"41",2022,1,6.96977272727273,176,7.27303571428571,6.4390625,6.21875,7.36666666666667,6.9327950310559,112,64,16,15,161,4202,2684,1518,455,635,3567,7.17824714897668,7.61355372205663,6.408574657444,6.25914285714286,7.03147716535433,7.20437525091113,34
"42",2022,2,6.98468468468468,111,7.31621621621622,6.32162162162162,5.61538461538461,6.5,7.06041666666667,74,37,13,15,96,4313,2758,1555,468,650,3663,7.17326559703223,7.6055758484409,6.40650567845659,6.24126068376068,7.01921230769231,7.20060238056238,35
"43",2022,3,7.21047619047619,105,7.58169014084507,6.43529411764706,5.82142857142857,7.12222222222222,7.22873563218391,71,34,7,18,87,4418,2829,1589,475,668,3750,7.17414995925758,7.60497638388123,6.40712166771554,6.23507368421053,7.02198802395209,7.201255072,36
"44",2022,4,7.2991452991453,117,7.55294117647059,6.625,5.85555555555556,6.77,7.34859813084112,85,32,9,10,107,4535,2914,1621,484,678,3857,7.17737475633958,7.60345854152368,6.41142278223319,6.22801652892562,7.01827138643068,7.20534262898626,37
"45",2022,5,7.02664,125,7.38194444444444,6.54396226415094,6.5,7.03333333333333,7.02572727272727,72,53,12,15,110,4660,2986,1674,496,693,3967,7.17333144206008,7.59811727729404,6.41561907407407,6.23459677419355,7.0185974025974,7.20036211746912,38
"46",2022,6,7.01675,100,7.44694029850746,6.14333333333333,6.42857142857143,7.87,6.93236263736264,67,33,7,9,91,4760,3053,1707,503,702,4058,7.17004191596638,7.59479960366852,6.41035520210896,6.23729622266401,7.02951282051282,7.1943522720552,39
"47",2022,7,6.94202127659574,94,7.22542372881356,6.46428571428571,6.375,6.04545454545455,7.06084337349398,59,35,10,11,83,4854,3112,1742,513,713,4141,7.16562618871034,7.58779665488432,6.41143876578645,6.23998050682261,7.01433099579242,7.19167629075103,40
"48",2022,8,7.10990099009901,101,7.4140625,6.58378378378378,5.51666666666667,6.17857142857143,7.25977011494253,64,37,6,14,87,4955,3176,1779,519,727,4228,7.16449031685166,7.58429571473552,6.41502323215289,6.23161849710983,6.99823658872077,7.19307746452223,41
