"","year","month","avg_rating","no_ratings","avg_rating_owned","avg_rating_not_owned","avg_rating_prev_owned","avg_rating_comment","avg_rating_no_comment","no_ratings_owned","no_ratings_not_owned","no_ratings_prev_owned","no_ratings_comment","no_ratings_no_comment","cum_no_ratings","cum_no_ratings_owned","cum_no_ratings_not_owned","cum_no_ratings_prev_owned","cum_no_ratings_comment","cum_no_ratings_no_comment","cum_avg_rating","cum_avg_rating_owned","cum_avg_rating_not_owned","cum_avg_rating_prev_owned","cum_avg_rating_comment","cum_avg_rating_no_comment","month_after_release"
"1",2021,9,7.67777772727273,22,8.85714285714286,7.12740733333333,9,8.5,7.49506166666667,7,15,1,4,18,22,7,15,1,4,18,7.67777772727273,8.85714285714286,7.12740733333333,9,8.5,7.49506166666667,0
"2",2021,10,7.51985185185185,135,8.02449438202247,6.54347826086957,7,7.12727272727273,7.55467741935484,89,46,1,11,124,157,96,61,2,15,142,7.54198159235669,8.08520833333333,6.68706737704918,8,7.49333333333333,7.54712049295775,1
"3",2021,11,7.24768461756374,353,7.88164717073171,6.36956081081081,6.625,6.73275862068965,7.34892430508475,205,148,18,58,295,510,301,209,20,73,437,7.33828192156863,7.94657033222591,6.46223019138756,6.7625,6.88904109589041,7.41332672768879,2
"4",2021,12,7.07877958064516,620,7.80627299212598,6.57390710382514,6.675,6.49419642857143,7.20766405511811,254,366,20,112,508,1130,555,575,40,185,945,7.19590010619469,7.88236218018018,6.53331497391304,6.71875,6.65,7.30276943915344,3
"5",2022,1,7.00874657821229,716,7.81564325657895,6.41336650485437,6.32,6.08041237113402,7.15422059773829,304,412,15,97,619,1846,859,987,55,282,1564,7.12330968039003,7.85875036088475,6.48324529888551,6.61,6.4540780141844,7.24397677109974,4
"6",2022,2,6.82287149171271,543,7.74222220994475,6.36319613259669,5.77272727272727,6.0204512195122,6.96560134490239,181,362,11,82,461,2389,1040,1349,66,364,2025,7.05502255755546,7.83846998076923,6.4510304744255,6.47045454545455,6.35639285714286,7.18060340246913,5
"7",2022,3,7.12323370114943,435,7.82125628140704,6.53464686440678,5.31818181818182,7.15496446808511,7.1193900257732,199,236,11,47,388,2824,1239,1585,77,411,2413,7.06552958569405,7.83570523002421,6.46348061198738,6.30584415584416,6.44771369829684,7.17076055532532,6
"8",2022,4,7.03192575,400,7.8737335326087,6.31483023148148,6,6.41730769230769,7.12376522988506,184,216,5,52,348,3224,1423,1801,82,463,2761,7.06136037531018,7.840622452565,6.44565247084953,6.28719512195122,6.44429876889849,7.16483720391163,7
"9",2022,5,7.0165849754902,408,7.69843023255814,6.51964690677966,6.16666666666667,6.43326530612245,7.09620242339833,172,236,15,49,359,3632,1595,2037,97,512,3120,7.05633053964758,7.82528887147336,6.45422521845852,6.26855670103093,6.44324283203125,7.15693980448718,8
"10",2022,6,7.03510315186246,349,7.68059411764706,6.42206703910615,6.5,6.73465853658537,7.0750974025974,170,179,6,41,308,3981,1765,2216,103,553,3428,7.05446961065059,7.81135226628895,6.45162760379061,6.28203883495146,6.46484869801085,7.14958640315053,9
"11",2022,7,7.08319088319088,351,7.63426966292135,6.51618497109827,6.37857142857143,6.35789473684211,7.17124600638978,178,173,7,38,313,4332,1943,2389,110,591,3741,7.05679674976916,7.79512956767885,6.45630254081205,6.28818181818182,6.45797179357022,7.15139860732424,10
"12",2022,8,7.05251404494382,356,7.65011560693642,6.48756830601093,6.0625,6.37272727272727,7.14838141025641,173,183,8,44,312,4688,2116,2572,118,635,4053,7.05647152730376,7.78327351134216,6.45852712674961,6.2728813559322,6.45206508661417,7.1511663434493,11
"13",2022,9,7.05247386759582,287,7.62230158730159,6.60652173913043,6.5625,6.64878048780488,7.11975609756098,126,161,8,41,246,4975,2242,2733,126,676,4299,7.05624090854271,7.77422691793042,6.46724543358946,6.29126984126984,6.46399605029586,7.14936896720168,12
"14",2022,10,7.05705714285714,350,7.74939189189189,6.54980198019802,6.3,6.70794117647059,7.09462025316456,148,202,9,34,316,5325,2390,2935,135,710,4615,7.05629455774648,7.7726890167364,6.47292734923339,6.29185185185185,6.47567792957746,7.1456201928494,13
"15",2022,11,6.94763773109244,357,7.55193370165746,6.32617426136364,5.08,6.56046511627907,7.00065818471338,181,176,5,43,314,5682,2571,3111,140,753,4929,7.04946765047519,7.75714770517309,6.4646250208936,6.24857142857143,6.48051969455511,7.1363854453236,14
"16",2022,12,7.03183673469388,392,7.69338235294118,6.31398936170213,6.5,6.48684210526316,7.09033898305085,204,188,6,38,354,6074,2775,3299,146,791,5283,7.04832979749753,7.75246009009009,6.45604075174295,6.25890410958904,6.48082342604298,7.13329999242855,15
